,metric,value,step
0,Mean Reward Against Episodes,-200.0,0.0
1,Mean Reward Against Episodes,-21.600000381469727,5.0
2,Mean Reward Against Episodes,-29.639999389648438,10.0
3,Mean Reward Against Episodes,-86.04000091552734,15.0
4,Mean Reward Against Episodes,25.920000076293945,20.0
5,Mean Reward Against Episodes,12.079999923706055,25.0
6,Mean Reward Against Episodes,34.400001525878906,30.0
7,Mean Reward Against Episodes,38.5,35.0
8,Mean Reward Against Episodes,28.18000030517578,40.0
9,Mean Reward Against Episodes,29.239999771118164,45.0
10,Mean Reward Against Episodes,56.380001068115234,50.0
11,Mean Reward Against Episodes,2.9600000381469727,55.0
12,Mean Reward Against Episodes,41.58000183105469,60.0
13,Mean Reward Against Episodes,61.7400016784668,65.0
14,Mean Reward Against Episodes,39.31999969482422,70.0
15,Mean Reward Against Episodes,60.099998474121094,75.0
16,Mean Reward Against Episodes,68.69999694824219,80.0
17,Mean Reward Against Episodes,65.45999908447266,85.0
18,Mean Reward Against Episodes,77.0,90.0
19,Mean Reward Against Episodes,69.94000244140625,95.0
20,Mean Reward Against Episodes,65.33999633789062,100.0
21,Mean Reward Against Episodes,52.02000045776367,105.0
22,Mean Reward Against Episodes,62.15999984741211,110.0
23,Mean Reward Against Episodes,53.52000045776367,115.0
24,Mean Reward Against Episodes,70.0199966430664,120.0
25,Mean Reward Against Episodes,60.18000030517578,125.0
26,Mean Reward Against Episodes,26.34000015258789,130.0
27,Mean Reward Against Episodes,56.86000061035156,135.0
28,Mean Reward Against Episodes,68.68000030517578,140.0
29,Mean Reward Against Episodes,67.86000061035156,145.0
30,Mean Reward Against Episodes,66.58000183105469,150.0
31,Mean Reward Against Episodes,58.52000045776367,155.0
32,Mean Reward Against Episodes,75.54000091552734,160.0
33,Mean Reward Against Episodes,77.91999816894531,165.0
34,Mean Reward Against Episodes,15.020000457763672,170.0
35,Mean Reward Against Episodes,51.900001525878906,175.0
36,Mean Reward Against Episodes,76.66000366210938,180.0
37,Mean Reward Against Episodes,-52.400001525878906,185.0
38,Mean Reward Against Episodes,74.05999755859375,190.0
39,Mean Reward Against Episodes,70.0999984741211,195.0
40,Mean Reward Against Episodes,60.65999984741211,200.0
41,Mean Reward Against Episodes,74.22000122070312,205.0
42,Mean Reward Against Episodes,73.62000274658203,210.0
43,Mean Reward Against Episodes,68.30000305175781,215.0
44,Mean Reward Against Episodes,77.95999908447266,220.0
45,Mean Reward Against Episodes,78.54000091552734,225.0
46,Mean Reward Against Episodes,76.31999969482422,230.0
47,Mean Reward Against Episodes,-37.65999984741211,235.0
48,Mean Reward Against Episodes,-200.0,240.0
49,Mean Reward Against Episodes,-200.0,245.0
50,Mean Reward Against Episodes,-200.0,250.0
51,Mean Reward Against Episodes,-200.0,255.0
52,Mean Reward Against Episodes,-200.0,260.0
53,Mean Reward Against Episodes,-200.0,265.0
54,Mean Reward Against Episodes,-200.0,270.0
55,Mean Reward Against Episodes,-200.0,275.0
56,Mean Reward Against Episodes,-200.0,280.0
57,Mean Reward Against Episodes,-200.0,285.0
58,Mean Reward Against Episodes,-200.0,290.0
59,Mean Reward Against Episodes,-200.0,295.0
60,Mean Reward Against Episodes,-200.0,300.0
61,Mean Reward Against Episodes,-200.0,305.0
62,Mean Reward Against Episodes,-200.0,310.0
63,Mean Reward Against Episodes,-200.0,315.0
64,Mean Reward Against Episodes,-200.0,320.0
65,Mean Reward Against Episodes,-200.0,325.0
66,Mean Reward Against Episodes,-200.0,330.0
67,Mean Reward Against Episodes,-200.0,335.0
68,Mean Reward Against Episodes,-200.0,340.0
69,Mean Reward Against Episodes,-200.0,345.0
70,Mean Reward Against Episodes,-200.0,350.0
71,Mean Reward Against Episodes,-200.0,355.0
72,Mean Reward Against Episodes,-200.0,360.0
73,Mean Reward Against Episodes,-200.0,365.0
74,Mean Reward Against Episodes,-200.0,370.0
75,Mean Reward Against Episodes,-200.0,375.0
76,Mean Reward Against Episodes,-200.0,380.0
77,Mean Reward Against Episodes,-200.0,385.0
78,Mean Reward Against Episodes,-200.0,390.0
79,Mean Reward Against Episodes,-200.0,395.0
80,Mean Reward Against Episodes,-200.0,400.0
81,Mean Reward Against Episodes,-200.0,405.0
82,Mean Reward Against Episodes,-200.0,410.0
83,Mean Reward Against Episodes,-200.0,415.0
84,Mean Reward Against Episodes,-200.0,420.0
85,Mean Reward Against Episodes,-200.0,425.0
86,Mean Reward Against Episodes,-200.0,430.0
87,Mean Reward Against Episodes,-200.0,435.0
88,Mean Reward Against Episodes,-200.0,440.0
89,Mean Reward Against Episodes,-200.0,445.0
90,Mean Reward Against Episodes,-200.0,450.0
91,Mean Reward Against Episodes,-200.0,455.0
92,Mean Reward Against Episodes,-200.0,460.0
93,Mean Reward Against Episodes,-200.0,465.0
94,Mean Reward Against Episodes,-200.0,470.0
